id,trade_date,ticker,trade_currency,buy_sell,quantity,price,cost
2,2021-03-30,ETH,USD,B,79.630000000000,228.310028000000,18180.327529640000
3,2021-04-13,ETH,USD,S,79.630000000000,390.119425000000,31065.209812750000
4,2021-04-14,ETH,USD,B,66.280000000000,351.460041000000,23294.771517480000
5,2021-04-15,ETH,USD,B,42.580000000000,320.311011000000,13638.842848380000
6,2021-04-16,ETH,USD,B,115.950000000000,359.441031000000,41677.187544450000
7,2021-04-17,ETH,USD,B,34.450000000000,366.834992000000,12637.465474400000
10,2021-04-20,BTC,USD,B,131.820000000000,2747.482759000000,362173.177291380000
11,2021-04-26,ETH,USD,B,200.000000000000,264.000000000000,52800.000000000000
12,2021-04-27,BTC,USD,S,131.820000000000,2747.482759000000,362173.177291380000
16,2021-05-16,ETH,USD,S,175.350000000000,351.956540000000,61715.579289000000
18,2021-05-17,ETH,USD,S,198.360000000000,264.000000000000,52367.040000000000
20,2021-05-17,CVC,ETH,S,75312.820000000000,0.000953000000,71.773117460000
21,2021-05-18,CVC,ETH,S,44653.400000000000,0.000844000000,37.687469600000
23,2021-05-19,CVC,ETH,S,51460.860000000000,0.000734000000,37.772271240000
24,2021-05-20,CVC,ETH,S,32969.380000000000,0.000682000000,22.485117160000
25,2021-05-21,CVC,ETH,S,59742.430000000000,0.000693000000,41.401503990000
26,2021-05-22,CVC,ETH,S,24086.540000000000,0.000786000000,18.932020440000
27,2021-05-23,CVC,ETH,S,47080.860000000000,0.000800000000,37.664688000000
28,2021-05-24,CVC,ETH,S,42941.230000000000,0.000908000000,38.990636840000
29,2021-05-24,FUN,ETH,B,92112.430000000000,0.000058000000,5.342520940000
30,2021-05-25,CVC,ETH,S,37158.490000000000,0.000835000000,31.027339150000
32,2021-05-25,FUN,ETH,B,515245.630000000000,0.000056000000,28.853755280000
33,2021-05-26,BTC,USD,B,36.360000000000,2495.000000000000,90718.200000000000
34,2021-05-26,CVC,ETH,S,23047.850000000000,0.000826000000,19.037524100000
35,2021-05-26,FUN,ETH,B,688294.400000000000,0.000054000000,37.167897600000
36,2021-05-27,CVC,ETH,S,14776.870000000000,0.000815000000,12.043149050000
37,2021-05-27,FUN,ETH,B,1747932.920000000000,0.000056000000,97.884243520000
38,2021-05-28,CVC,ETH,S,7934.160000000000,0.000774000000,6.141039840000
39,2021-05-28,FUN,ETH,B,1719821.610000000000,0.000060000000,103.189296600000
40,2021-05-28,TFL,BTC,B,27272.730000000000,0.000417000000,11.372728410000
41,2021-05-29,FUN,ETH,B,346657.810000000000,0.000059000000,20.452810790000
42,2021-05-30,FUN,ETH,B,1066490.470000000000,0.000060000000,63.989428200000
43,2021-05-30,ETH,USD,S,0.160000000000,198.546793000000,31.767486880000
44,2021-05-31,FUN,ETH,B,1100316.970000000000,0.000059000000,64.918701230000
45,2021-05-31,ETH,USD,S,0.140000000000,198.714055000000,27.819967700000
47,2021-06-01,FUN,ETH,B,674251.020000000000,0.000056000000,37.758057120000
48,2021-06-07,FUN,BTC,B,34090.910000000000,0.000005000000,0.170454550000
49,2021-06-08,FUN,BTC,B,1520125.290000000000,0.000006000000,9.120751740000
50,2021-06-09,FUN,BTC,B,740013.340000000000,0.000006000000,4.440080040000
51,2021-06-10,FUN,BTC,B,1592001.440000000000,0.000008000000,12.736011520000
52,2021-06-10,ETH,USD,B,545.450000000000,307.000000000000,167453.150000000000
54,2021-06-11,ETH,USD,B,545.450000000000,304.000000000000,165816.800000000000
55,2021-06-14,ETH,USD,B,695.450000000000,301.833333000000,209909.991434850000
56,2021-06-15,ETH,USD,B,627.270000000000,289.000000000000,181281.030000000000
59,2021-06-15,ZRX,ETH,B,7171.180000000000,0.000169000000,1.211929420000
60,2021-06-16,ZRX,ETH,B,63.640000000000,0.000223000000,0.014191720000
61,2021-06-16,DMT,ETH,B,666440.000000000000,0.000909000000,605.793960000000
64,2021-07-01,ETH,USD,B,545.450000000000,389.000000000000,212180.050000000000
65,2021-07-06,ETH,USD,B,727.270000000000,325.250000000000,236544.567500000000
66,2021-07-07,ART,ETH,B,1309089.820000000000,0.001667000000,2182.252729940000
67,2021-07-08,ETH,USD,B,727.270000000000,335.625000000000,244089.993750000000
68,2021-07-09,ENG,ETH,B,804949.490000000000,0.001468000000,1181.665851320000
70,2021-07-22,ETH,USD,B,1181.820000000000,262.461538000000,310182.294839160000
71,2021-07-25,KNC,ETH,B,240000.000000000000,0.001515000000,363.600000000000
75,2021-07-27,ICX,ETH,B,3282828.360000000000,0.000360000000,1181.818209600000
80,2021-07-31,ETH,USD,S,0.010000000000,0.204787000000,0.002047870000
